fecha,sesion,numeroVotacion,voto
"20/12/2012","80","1","No"
"20/12/2012","80","2","No"
"20/12/2012","80","3","No"
"20/12/2012","80","4","No"
"20/12/2012","80","5","No"
"20/12/2012","80","6","No"
"20/12/2012","80","7","No"
"20/12/2012","80","8","No"
"20/12/2012","80","9","No"
"20/12/2012","80","10","No"
"20/12/2012","80","11","No"
"20/12/2012","80","12","No"
"20/12/2012","80","13","No"
"20/12/2012","80","14","No"
"20/12/2012","80","15","No"
"20/12/2012","80","16","No"
"20/12/2012","80","17","No"
"20/12/2012","80","18","No"
"20/12/2012","80","19","No"
"20/12/2012","80","20","No"
"20/12/2012","80","21","No"
"20/12/2012","80","22","No"
"20/12/2012","80","23","No"
"20/12/2012","80","24","No"
"20/12/2012","80","25","No"
"20/12/2012","80","26","No"
"20/12/2012","80","27","No"
"20/12/2012","80","28","No"
"20/12/2012","80","29","No"
"20/12/2012","80","30","No"
"20/12/2012","80","31","No"
"20/12/2012","80","32","Abstención"
"20/12/2012","80","33","No"
"20/12/2012","80","34","No"
"20/12/2012","80","35","No"
"20/12/2012","80","36","No"
"20/12/2012","80","37","No"
"20/12/2012","80","38","No"
"20/12/2012","80","39","No"
"20/12/2012","80","40","No"
"20/12/2012","80","41","No"
"20/12/2012","80","42","No"
"20/12/2012","80","43","No"
"20/12/2012","80","44","No"
"20/12/2012","80","45","No"
"20/12/2012","80","46","No"
"20/12/2012","80","47","No"
"20/12/2012","80","48","No"
"20/12/2012","80","49","No"
"20/12/2012","80","50","Abstención"
"20/12/2012","80","51","Abstención"
"20/12/2012","80","52","Abstención"
"20/12/2012","80","53","Abstención"
"20/12/2012","80","54","Abstención"
"20/12/2012","80","55","Abstención"
"20/12/2012","80","56","Abstención"
"20/12/2012","80","57","Abstención"
"20/12/2012","80","58","Abstención"
"20/12/2012","80","59","Abstención"
"20/12/2012","80","60","Abstención"
"20/12/2012","80","61","Sí"
"20/12/2012","80","62","Sí"
"20/12/2012","80","63","Sí"
"20/12/2012","80","64","Abstención"
"20/12/2012","80","65","Abstención"
"20/12/2012","80","66","Abstención"
"20/12/2012","80","67","Sí"
"30/1/2013","81","1","Sí"
"30/1/2013","81","2","Abstención"
"30/1/2013","81","3","Sí"
"30/1/2013","81","4","Sí"
"30/1/2013","81","5","Sí"
"30/1/2013","81","6","Sí"
"30/1/2013","81","7","Sí"
"12/2/2013","82","1","No"
"12/2/2013","82","3","No"
"12/2/2013","82","4","Sí"
"12/2/2013","82","5","Sí"
"12/2/2013","82","2","Sí"
"14/2/2013","84","1","Abstención"
"14/2/2013","84","2","Sí"
"14/2/2013","84","3","Sí"
"14/2/2013","84","4","Sí"
"14/2/2013","84","5","No"
"14/2/2013","84","6","Sí"
"14/2/2013","84","7","Sí"
"14/2/2013","84","8","Sí"
"14/2/2013","84","9","Sí"
"14/2/2013","84","10","Sí"
"14/2/2013","84","11","Sí"
"14/2/2013","84","12","Sí"
"14/2/2013","84","13","Sí"
"14/2/2013","84","14","Sí"
"14/2/2013","84","15","Sí"
"14/2/2013","84","16","Sí"
"14/2/2013","84","17","Sí"
"14/2/2013","84","18","Sí"
"14/2/2013","84","19","Sí"
"14/2/2013","84","20","Sí"
"14/2/2013","84","21","Sí"
"14/2/2013","84","22","No"
"14/2/2013","84","23","Sí"
"14/2/2013","84","24","Sí"
"14/2/2013","84","25","Sí"
"14/2/2013","84","26","Sí"
"14/2/2013","84","27","Sí"
"14/2/2013","84","28","Sí"
"14/2/2013","84","29","Sí"
"14/2/2013","84","30","Sí"
"14/2/2013","84","31","Sí"
"14/2/2013","84","32","Sí"
"14/2/2013","84","33","No"
"14/2/2013","84","34","Sí"
"14/2/2013","84","35","Sí"
"14/2/2013","84","36","Sí"
"14/2/2013","84","37","Sí"
"14/2/2013","84","38","Sí"
"14/2/2013","84","39","Sí"
"14/2/2013","84","40","Sí"
"14/2/2013","84","41","Sí"
"14/2/2013","84","42","Sí"
"14/2/2013","84","43","Sí"
"14/2/2013","84","44","Sí"
"14/2/2013","84","45","Sí"
"14/2/2013","84","46","No vota"
"14/2/2013","84","47","Sí"
"14/2/2013","84","48","Sí"
"14/2/2013","84","49","No"
"14/2/2013","84","50","No"
"14/2/2013","84","51","Sí"
"26/2/2013","87","1","Sí"
"26/2/2013","87","2","Sí"
"26/2/2013","87","3","Sí"
"26/2/2013","87","4","Sí"
"26/2/2013","87","5","Sí"
"26/2/2013","87","8","Sí"
"26/2/2013","87","9","Sí"
"26/2/2013","87","10","Sí"
"26/2/2013","87","11","Abstención"
"26/2/2013","87","12","Sí"
"26/2/2013","87","13","No"
"26/2/2013","87","14","Sí"
"26/2/2013","87","15","Sí"
"26/2/2013","87","16","Sí"
"26/2/2013","87","17","Sí"
"26/2/2013","87","18","No"
"26/2/2013","87","19","Abstención"
"26/2/2013","87","20","Sí"
"26/2/2013","87","21","Sí"
"26/2/2013","87","22","Abstención"
"26/2/2013","87","23","Abstención"
"26/2/2013","87","24","Sí"
"26/2/2013","87","25","Sí"
"26/2/2013","87","26","Sí"
"26/2/2013","87","27","Sí"
"26/2/2013","87","28","Sí"
"26/2/2013","87","29","Sí"
"26/2/2013","87","30","Sí"
"26/2/2013","87","31","Sí"
"26/2/2013","87","32","Sí"
"26/2/2013","87","33","Sí"
"26/2/2013","87","36","Sí"
"26/2/2013","87","37","Sí"
"26/2/2013","87","38","Sí"
"26/2/2013","87","39","Sí"
"26/2/2013","87","40","No"
"26/2/2013","87","41","Sí"
"26/2/2013","87","42","Sí"
"26/2/2013","87","43","Sí"
"26/2/2013","87","44","Sí"
"26/2/2013","87","45","Sí"
"26/2/2013","87","46","Sí"
"26/2/2013","87","47","Sí"
"26/2/2013","87","48","Sí"
"26/2/2013","87","49","Sí"
"26/2/2013","87","50","Sí"
"26/2/2013","87","51","Sí"
"26/2/2013","87","52","Sí"
"26/2/2013","87","53","Sí"
"26/2/2013","87","54","Sí"
"26/2/2013","87","55","Sí"
"26/2/2013","87","56","Sí"
"26/2/2013","87","57","Sí"
"26/2/2013","87","58","Sí"
"26/2/2013","87","59","Sí"
"26/2/2013","87","60","Abstención"
"26/2/2013","87","61","Sí"
"26/2/2013","87","62","Sí"
"26/2/2013","87","63","Abstención"
"26/2/2013","87","64","Sí"
"26/2/2013","87","65","Abstención"
"26/2/2013","87","66","Sí"
"26/2/2013","87","67","Abstención"
"26/2/2013","87","68","Sí"
"26/2/2013","87","69","Abstención"
"26/2/2013","87","70","No"
"26/2/2013","87","71","Sí"
"26/2/2013","87","72","Abstención"
"26/2/2013","87","73","Abstención"
"26/2/2013","87","74","No"
"26/2/2013","87","75","No"
"26/2/2013","87","76","No"
"26/2/2013","87","77","No"
"26/2/2013","87","78","Abstención"
"26/2/2013","87","79","Abstención"
"26/2/2013","87","80","Sí"
"26/2/2013","87","81","No"
"26/2/2013","87","82","Abstención"
"26/2/2013","87","83","No"
"26/2/2013","87","84","No"
"26/2/2013","87","85","Sí"
"26/2/2013","87","86","No"
"26/2/2013","87","87","Abstención"
"26/2/2013","87","88","Sí"
"26/2/2013","87","89","Abstención"
"26/2/2013","87","90","Sí"
"26/2/2013","87","91","Abstención"
"26/2/2013","87","92","Sí"
"26/2/2013","87","93","Abstención"
"26/2/2013","87","94","Sí"
"26/2/2013","87","95","Sí"
"26/2/2013","87","96","Sí"
"26/2/2013","87","97","No"
"26/2/2013","87","98","Sí"
"26/2/2013","87","99","Sí"
"26/2/2013","87","100","No"
"26/2/2013","87","101","No"
"26/2/2013","87","102","No"
"26/2/2013","87","103","Abstención"
"26/2/2013","87","104","Sí"
"26/2/2013","87","105","Abstención"
"26/2/2013","87","106","Sí"
"26/2/2013","87","107","Abstención"
"26/2/2013","87","108","No"
"27/2/2013","88","1","Sí"
"27/2/2013","88","2","Sí"
"27/2/2013","88","3","Sí"
"27/2/2013","88","4","Sí"
"27/2/2013","88","5","No"
"27/2/2013","88","6","Abstención"
"27/2/2013","88","7","Sí"
"12/3/2013","89","1","Abstención"
"12/3/2013","89","2","Sí"
"12/3/2013","89","3","Abstención"
"12/3/2013","89","4","Abstención"
"12/3/2013","89","5","Sí"
"14/3/2013","91","1","Sí"
"14/3/2013","91","2","Sí"
