fecha,sesion,numeroVotacion,voto
11/1/2012,4,1,"No vota"
11/1/2012,4,3,"No vota"
11/1/2012,4,4,"No vota"
11/1/2012,4,5,"No vota"
11/1/2012,4,6,"No vota"
11/1/2012,4,7,"No vota"
11/1/2012,4,8,"No vota"
7/2/2012,5,1,"No vota"
7/2/2012,5,2,"No vota"
7/2/2012,5,3,"No vota"
7/2/2012,5,4,"No vota"
9/2/2012,7,1,"No vota"
9/2/2012,7,2,"No vota"
14/2/2012,8,1,"No vota"
14/2/2012,8,2,"No vota"
14/2/2012,8,3,"No vota"
14/2/2012,8,4,"No vota"
16/2/2012,10,1,"No vota"
16/2/2012,10,2,"No vota"
21/2/2012,11,1,"No vota"
21/2/2012,11,2,"No vota"
21/2/2012,11,3,"No vota"
21/2/2012,11,4,"No vota"
21/2/2012,11,5,"No vota"
23/2/2012,13,1,"No vota"
23/2/2012,13,2,"No vota"
23/2/2012,13,3,"No vota"
23/2/2012,13,4,"No vota"
23/2/2012,13,5,"No vota"
23/2/2012,13,6,"No vota"
23/2/2012,13,7,"No vota"
23/2/2012,13,8,"No vota"
23/2/2012,13,9,"No vota"
23/2/2012,13,10,"No vota"
23/2/2012,13,11,"No vota"
23/2/2012,13,12,"No vota"
23/2/2012,13,13,"No vota"
23/2/2012,13,14,"No vota"
23/2/2012,13,15,"No vota"
23/2/2012,13,16,"No vota"
23/2/2012,13,17,"No vota"
23/2/2012,13,18,"No vota"
6/3/2012,14,1,"No vota"
6/3/2012,14,2,"No vota"
6/3/2012,14,3,"No vota"
6/3/2012,14,4,"No vota"
6/3/2012,14,5,"No vota"
6/3/2012,14,6,"No vota"
8/3/2012,16,1,No
8/3/2012,16,2,Abstención
8/3/2012,16,3,"No vota"
8/3/2012,16,4,"No vota"
13/3/2012,17,1,"No vota"
13/3/2012,17,2,"No vota"
13/3/2012,17,3,"No vota"
13/3/2012,17,4,"No vota"
13/3/2012,17,5,No
15/3/2012,19,1,"No vota"
15/3/2012,19,2,"No vota"
15/3/2012,19,3,"No vota"
15/3/2012,19,4,"No vota"
15/3/2012,19,5,"No vota"
15/3/2012,19,6,"No vota"
15/3/2012,19,7,"No vota"
15/3/2012,19,8,"No vota"
27/3/2012,20,1,"No vota"
27/3/2012,20,2,"No vota"
27/3/2012,20,3,"No vota"
27/3/2012,20,4,"No vota"
27/3/2012,20,5,"No vota"
27/3/2012,20,6,"No vota"
27/3/2012,20,7,"No vota"
27/3/2012,20,8,"No vota"
29/3/2012,22,1,"No vota"
29/3/2012,22,2,"No vota"
29/3/2012,22,3,"No vota"
29/3/2012,22,4,"No vota"
29/3/2012,22,5,"No vota"
29/3/2012,22,6,"No vota"
29/3/2012,22,7,"No vota"
29/3/2012,22,8,"No vota"
29/3/2012,22,9,"No vota"
29/3/2012,22,10,"No vota"
29/3/2012,22,11,"No vota"
10/4/2012,23,1,"No vota"
10/4/2012,23,2,"No vota"
10/4/2012,23,3,"No vota"
10/4/2012,23,4,"No vota"
10/4/2012,23,5,"No vota"
10/4/2012,23,6,"No vota"
12/4/2012,25,1,"No vota"
12/4/2012,25,2,"No vota"
12/4/2012,25,3,"No vota"
12/4/2012,25,4,"No vota"
12/4/2012,25,5,"No vota"
12/4/2012,25,6,"No vota"
12/4/2012,25,7,"No vota"
12/4/2012,25,8,"No vota"
12/4/2012,25,9,"No vota"
12/4/2012,25,10,"No vota"
12/4/2012,26,1,"No vota"
12/4/2012,26,2,"No vota"
12/4/2012,26,3,"No vota"
12/4/2012,26,4,"No vota"
25/4/2012,28,1,"No vota"
25/4/2012,28,2,"No vota"
25/4/2012,28,3,"No vota"
25/4/2012,28,4,"No vota"
25/4/2012,28,5,"No vota"
25/4/2012,28,6,"No vota"
16/5/2012,29,1,Abstención
16/5/2012,29,2,Abstención
16/5/2012,29,3,"No vota"
