fecha,sesion,numeroVotacion,voto
26/6/2012,43,1,No
26/6/2012,43,2,No
26/6/2012,43,3,Sí
26/6/2012,43,4,No
26/6/2012,43,5,No
26/6/2012,43,6,Sí
26/6/2012,43,7,No
26/6/2012,43,8,No
26/6/2012,43,9,No
28/6/2012,45,1,Abstención
28/6/2012,45,2,No
28/6/2012,45,3,No
28/6/2012,45,4,No
28/6/2012,45,5,No
28/6/2012,45,6,No
28/6/2012,45,7,No
28/6/2012,45,8,No
28/6/2012,45,9,No
28/6/2012,45,10,Sí
28/6/2012,45,11,Sí
28/6/2012,45,12,Sí
28/6/2012,45,13,Sí
28/6/2012,45,14,Sí
17/7/2012,47,1,Sí
17/7/2012,47,2,Sí
19/7/2012,49,1,No
19/7/2012,49,2,No
19/7/2012,49,3,Sí
19/7/2012,49,4,Sí
19/7/2012,49,5,Sí
19/7/2012,49,6,No
19/7/2012,49,7,Sí
19/7/2012,49,8,Sí
19/7/2012,49,9,Sí
19/7/2012,49,10,Sí
19/7/2012,49,11,No
19/7/2012,49,12,No
19/7/2012,49,13,No
19/7/2012,49,14,No
19/7/2012,49,15,Sí
24/7/2012,50,1,Sí
24/7/2012,50,2,Sí
24/7/2012,50,3,No
24/7/2012,50,4,Sí
24/7/2012,50,5,Sí
11/9/2012,51,2,No
11/9/2012,51,3,No
11/9/2012,51,4,Sí
11/9/2012,51,5,No
11/9/2012,51,6,No
11/9/2012,51,7,Sí
11/9/2012,51,8,No
13/9/2012,53,1,Sí
13/9/2012,53,2,Sí
13/9/2012,53,3,Sí
13/9/2012,53,4,No
13/9/2012,53,10,No
13/9/2012,53,11,No
13/9/2012,53,12,No
13/9/2012,53,13,No
13/9/2012,53,14,No
13/9/2012,53,15,No
13/9/2012,53,16,No
18/9/2012,54,1,No
18/9/2012,54,2,No
18/9/2012,54,3,No
18/9/2012,54,4,No
18/9/2012,54,5,No
18/9/2012,54,6,No
18/9/2012,54,7,No
18/9/2012,54,8,No
20/9/2012,56,1,Sí
20/9/2012,56,2,Sí
20/9/2012,56,3,Sí
20/9/2012,56,4,No
25/9/2012,57,1,No
25/9/2012,57,2,No
25/9/2012,57,3,No
25/9/2012,57,4,No
25/9/2012,57,5,No
25/9/2012,57,6,No
25/9/2012,57,7,No
26/9/2012,58,2,No
9/10/2012,59,1,No
9/10/2012,59,2,No
9/10/2012,59,3,Sí
9/10/2012,59,4,No
9/10/2012,59,5,No
11/10/2012,61,8,Sí
