fecha,sesion,numeroVotacion,voto
"11/1/2012","4","1","Abstención"
"11/1/2012","4","3","No"
"11/1/2012","4","4","No vota"
"11/1/2012","4","5","Abstención"
"11/1/2012","4","6","Sí"
"11/1/2012","4","7","Sí"
"11/1/2012","4","8","Sí"
"7/2/2012","5","1","Abstención"
"7/2/2012","5","2","No vota"
"7/2/2012","5","3","Sí"
"7/2/2012","5","4","No vota"
"9/2/2012","7","1","No"
"9/2/2012","7","2","Abstención"
"14/2/2012","8","1","Sí"
"14/2/2012","8","2","Sí"
"14/2/2012","8","3","Sí"
"14/2/2012","8","4","No"
"16/2/2012","10","1","No"
"16/2/2012","10","2","Sí"
"21/2/2012","11","1","Sí"
"21/2/2012","11","2","No vota"
"21/2/2012","11","3","Sí"
"21/2/2012","11","4","No"
"21/2/2012","11","5","Sí"
"23/2/2012","13","1","Sí"
"23/2/2012","13","2","Sí"
"23/2/2012","13","3","Sí"
"23/2/2012","13","4","Sí"
"23/2/2012","13","5","Sí"
"23/2/2012","13","6","Sí"
"23/2/2012","13","7","Sí"
"23/2/2012","13","8","Sí"
"23/2/2012","13","9","Sí"
"23/2/2012","13","10","Sí"
"23/2/2012","13","11","Sí"
"23/2/2012","13","12","Abstención"
"23/2/2012","13","13","Sí"
"23/2/2012","13","14","No"
"23/2/2012","13","15","Sí"
"23/2/2012","13","16","Sí"
"23/2/2012","13","17","No vota"
"23/2/2012","13","18","Sí"
"23/2/2012","13","19","Sí"
"23/2/2012","13","20","Sí"
"23/2/2012","13","21","Sí"
"23/2/2012","13","22","Sí"
"23/2/2012","13","23","No"
"23/2/2012","13","24","No"
"23/2/2012","13","25","No"
"23/2/2012","13","26","Sí"
"23/2/2012","13","27","No"
"23/2/2012","13","28","No"
"23/2/2012","13","29","No"
"23/2/2012","13","30","No"
"23/2/2012","13","31","Sí"
"23/2/2012","13","32","Abstención"
"23/2/2012","13","33","Sí"
"23/2/2012","13","34","Sí"
"23/2/2012","13","35","Sí"
"23/2/2012","13","36","Sí"
"23/2/2012","13","37","Sí"
"6/3/2012","14","1","Sí"
"6/3/2012","14","2","Abstención"
"6/3/2012","14","3","Sí"
"6/3/2012","14","4","Sí"
"6/3/2012","14","5","Sí"
"6/3/2012","14","6","No"
"8/3/2012","16","1","No"
"8/3/2012","16","2","Sí"
"8/3/2012","16","3","No"
"8/3/2012","16","4","Sí"
"13/3/2012","17","1","No"
"13/3/2012","17","2","Sí"
"13/3/2012","17","3","Sí"
"13/3/2012","17","4","Sí"
"13/3/2012","17","5","Sí"
"15/3/2012","19","1","Abstención"
"15/3/2012","19","2","Abstención"
"15/3/2012","19","3","No"
"15/3/2012","19","4","Sí"
