fecha,sesion,numeroVotacion,voto
"10/9/2013","125","1","Sí"
"10/9/2013","125","2","No"
"10/9/2013","125","3","No"
"10/9/2013","125","4","No"
"10/9/2013","125","5","Sí"
"10/9/2013","125","6","Sí"
"10/9/2013","125","7","Abstención"
"12/9/2013","127","1","Sí"
"12/9/2013","127","2","Sí"
"12/9/2013","127","3","Abstención"
"12/9/2013","127","4","Sí"
"12/9/2013","127","5","Abstención"
"12/9/2013","127","6","Abstención"
"12/9/2013","127","7","Abstención"
"12/9/2013","127","8","Abstención"
"12/9/2013","127","9","Abstención"
"12/9/2013","127","10","Abstención"
"12/9/2013","127","11","Abstención"
"12/9/2013","127","12","Abstención"
"12/9/2013","127","13","Abstención"
"12/9/2013","127","14","Abstención"
"12/9/2013","127","15","No vota"
"12/9/2013","127","16","Abstención"
"12/9/2013","127","17","Abstención"
"12/9/2013","127","18","Sí"
"12/9/2013","127","19","Sí"
"12/9/2013","127","20","No"
"12/9/2013","127","21","No"
"12/9/2013","127","22","No"
"12/9/2013","127","23","Abstención"
"12/9/2013","127","24","Sí"
"12/9/2013","127","25","Sí"
"12/9/2013","127","26","Abstención"
"12/9/2013","127","27","Abstención"
"17/9/2013","128","1","Abstención"
"17/9/2013","128","2","Sí"
"17/9/2013","128","3","Sí"
"17/9/2013","128","4","Sí"
"17/9/2013","128","5","Abstención"
"17/9/2013","128","6","Sí"
"17/9/2013","128","7","No"
"19/9/2013","130","1","No"
"19/9/2013","130","2","Sí"
"19/9/2013","130","3","Sí"
"19/9/2013","130","4","No"
"19/9/2013","130","5","Abstención"
"24/9/2013","131","1","Sí"
"24/9/2013","131","2","Sí"
"24/9/2013","131","3","No"
"24/9/2013","131","4","No"
"24/9/2013","131","5","Sí"
"24/9/2013","131","6","Sí"
"24/9/2013","131","7","Abstención"
"24/9/2013","131","8","Sí"
"24/9/2013","131","9","Sí"
"24/9/2013","131","10","Sí"
"24/9/2013","131","11","Abstención"
"26/9/2013","133","1","Abstención"
"26/9/2013","133","2","Abstención"
