fecha,sesion,numeroVotacion,voto
6/3/2012,14,1,No
6/3/2012,14,2,Sí
6/3/2012,14,3,Sí
6/3/2012,14,4,No
6/3/2012,14,5,No
6/3/2012,14,6,No
8/3/2012,16,1,Sí
8/3/2012,16,2,Sí
8/3/2012,16,3,Sí
8/3/2012,16,4,No
13/3/2012,17,1,Sí
13/3/2012,17,2,No
13/3/2012,17,3,No
13/3/2012,17,4,Sí
13/3/2012,17,5,No
15/3/2012,19,1,Sí
15/3/2012,19,2,Sí
15/3/2012,19,3,Sí
15/3/2012,19,4,No
15/3/2012,19,5,No
15/3/2012,19,6,No
15/3/2012,19,7,No
15/3/2012,19,8,No
27/3/2012,20,1,No
27/3/2012,20,2,No
27/3/2012,20,3,Sí
27/3/2012,20,4,No
27/3/2012,20,5,No
27/3/2012,20,6,No
27/3/2012,20,7,No
27/3/2012,20,8,No
29/3/2012,22,1,Sí
29/3/2012,22,2,Sí
29/3/2012,22,3,Sí
29/3/2012,22,4,Sí
29/3/2012,22,5,Sí
29/3/2012,22,6,Sí
29/3/2012,22,7,Sí
29/3/2012,22,8,No
29/3/2012,22,9,Sí
29/3/2012,22,10,No
29/3/2012,22,11,No
10/4/2012,23,1,No
10/4/2012,23,2,Sí
10/4/2012,23,3,No
10/4/2012,23,4,No
10/4/2012,23,5,No
10/4/2012,23,6,Sí
12/4/2012,25,1,Sí
12/4/2012,25,2,No
12/4/2012,25,3,Sí
12/4/2012,25,4,No
12/4/2012,25,5,No
12/4/2012,25,6,No
12/4/2012,25,7,No
12/4/2012,25,8,No
12/4/2012,25,9,No
12/4/2012,25,10,No
12/4/2012,26,1,No
12/4/2012,26,2,No
12/4/2012,26,3,No
12/4/2012,26,4,No
25/4/2012,28,1,No
25/4/2012,28,2,Sí
25/4/2012,28,3,No
25/4/2012,28,4,Sí
25/4/2012,28,5,No
25/4/2012,28,6,Sí
16/5/2012,29,1,No
16/5/2012,29,2,No
16/5/2012,29,3,No
17/5/2012,30,1,Sí
17/5/2012,30,2,Sí
17/5/2012,30,3,Sí
17/5/2012,30,4,Sí
17/5/2012,30,5,Sí
17/5/2012,30,6,No
17/5/2012,30,7,Sí
17/5/2012,30,8,Sí
17/5/2012,30,9,Sí
17/5/2012,30,10,No
17/5/2012,30,11,Sí
17/5/2012,30,12,No
17/5/2012,30,13,Sí
17/5/2012,30,14,Sí
17/5/2012,30,15,Sí
21/5/2012,31,1,No
21/5/2012,31,2,No
21/5/2012,31,3,No
21/5/2012,31,4,No
21/5/2012,31,5,Sí
21/5/2012,31,6,No
21/5/2012,31,7,No
21/5/2012,31,8,Sí
21/5/2012,31,9,No
21/5/2012,31,10,No
21/5/2012,31,11,No
21/5/2012,31,12,No
21/5/2012,31,13,No
21/5/2012,31,14,No
22/5/2012,32,1,No
22/5/2012,32,2,No
