fecha,sesion,numeroVotacion,voto
21/6/2012,42,1,"No vota"
21/6/2012,42,2,"No vota"
21/6/2012,42,3,"No vota"
21/6/2012,42,4,"No vota"
21/6/2012,42,5,"No vota"
21/6/2012,42,6,"No vota"
26/6/2012,43,1,Sí
26/6/2012,43,2,Sí
26/6/2012,43,3,No
26/6/2012,43,4,Sí
26/6/2012,43,5,Sí
26/6/2012,43,6,"No vota"
26/6/2012,43,7,"No vota"
26/6/2012,43,8,Abstención
26/6/2012,43,9,Sí
28/6/2012,45,1,Sí
28/6/2012,45,2,Abstención
28/6/2012,45,3,Abstención
28/6/2012,45,4,Abstención
28/6/2012,45,5,Abstención
28/6/2012,45,6,Sí
28/6/2012,45,7,Abstención
28/6/2012,45,8,Abstención
28/6/2012,45,9,Abstención
28/6/2012,45,10,No
28/6/2012,45,11,No
28/6/2012,45,12,No
28/6/2012,45,13,Abstención
28/6/2012,45,14,No
17/7/2012,47,1,"No vota"
17/7/2012,47,2,"No vota"
19/7/2012,49,1,"No vota"
19/7/2012,49,2,"No vota"
19/7/2012,49,3,"No vota"
19/7/2012,49,4,"No vota"
19/7/2012,49,5,"No vota"
19/7/2012,49,6,"No vota"
19/7/2012,49,7,"No vota"
19/7/2012,49,8,"No vota"
19/7/2012,49,9,"No vota"
19/7/2012,49,10,"No vota"
19/7/2012,49,11,"No vota"
19/7/2012,49,12,"No vota"
19/7/2012,49,13,"No vota"
19/7/2012,49,14,"No vota"
19/7/2012,49,15,"No vota"
24/7/2012,50,1,"No vota"
24/7/2012,50,2,"No vota"
24/7/2012,50,3,"No vota"
24/7/2012,50,4,"No vota"
24/7/2012,50,5,"No vota"
11/9/2012,51,2,Sí
11/9/2012,51,3,Sí
11/9/2012,51,4,"No vota"
11/9/2012,51,5,"No vota"
11/9/2012,51,6,"No vota"
11/9/2012,51,7,"No vota"
11/9/2012,51,8,Sí
13/9/2012,53,1,"No vota"
13/9/2012,53,2,"No vota"
13/9/2012,53,3,"No vota"
13/9/2012,53,4,"No vota"
13/9/2012,53,10,"No vota"
13/9/2012,53,11,"No vota"
13/9/2012,53,12,"No vota"
13/9/2012,53,13,"No vota"
13/9/2012,53,14,"No vota"
13/9/2012,53,15,"No vota"
13/9/2012,53,16,"No vota"
18/9/2012,54,1,Sí
18/9/2012,54,2,Abstención
18/9/2012,54,3,Sí
18/9/2012,54,4,Sí
18/9/2012,54,5,Sí
18/9/2012,54,6,Sí
18/9/2012,54,7,Sí
18/9/2012,54,8,Abstención
20/9/2012,56,1,"No vota"
20/9/2012,56,2,"No vota"
20/9/2012,56,3,"No vota"
20/9/2012,56,4,"No vota"
25/9/2012,57,1,"No vota"
25/9/2012,57,2,"No vota"
25/9/2012,57,3,"No vota"
25/9/2012,57,4,"No vota"
25/9/2012,57,5,"No vota"
25/9/2012,57,6,"No vota"
25/9/2012,57,7,"No vota"
26/9/2012,58,2,"No vota"
9/10/2012,59,1,"No vota"
9/10/2012,59,2,Sí
9/10/2012,59,3,No
9/10/2012,59,4,Abstención
9/10/2012,59,5,"No vota"
11/10/2012,61,8,"No vota"
22/10/2012,62,1,"No vota"
22/10/2012,62,2,"No vota"
22/10/2012,62,3,"No vota"
22/10/2012,62,4,"No vota"
22/10/2012,62,5,"No vota"
24/10/2012,64,1,Sí
30/10/2012,65,1,Sí
30/10/2012,65,2,Sí
30/10/2012,65,3,Sí
30/10/2012,65,4,Sí
30/10/2012,65,5,Sí
30/10/2012,65,6,Abstención
30/10/2012,65,7,Sí
30/10/2012,65,8,Sí
30/10/2012,65,9,Sí
30/10/2012,65,10,Sí
30/10/2012,65,11,Abstención
30/10/2012,65,12,Sí
