fecha,sesion,numeroVotacion,voto
"30/1/2013","81","1","Sí"
"30/1/2013","81","2","No"
"30/1/2013","81","3","Sí"
"30/1/2013","81","4","Sí"
"30/1/2013","81","5","Sí"
"30/1/2013","81","6","Sí"
"30/1/2013","81","7","Sí"
"12/2/2013","82","1","Abstención"
"12/2/2013","82","3","No"
"12/2/2013","82","4","Sí"
"12/2/2013","82","5","Sí"
"12/2/2013","82","2","Sí"
"14/2/2013","84","1","Sí"
"14/2/2013","84","2","Sí"
"14/2/2013","84","3","No"
"14/2/2013","84","4","Sí"
"14/2/2013","84","5","No"
"14/2/2013","84","6","Sí"
"14/2/2013","84","7","Sí"
"14/2/2013","84","8","Sí"
"14/2/2013","84","9","Sí"
"14/2/2013","84","10","Abstención"
"14/2/2013","84","11","Abstención"
"14/2/2013","84","12","Sí"
"14/2/2013","84","13","Abstención"
"14/2/2013","84","14","Sí"
"14/2/2013","84","15","Sí"
"14/2/2013","84","16","Sí"
"14/2/2013","84","17","Sí"
"14/2/2013","84","18","Abstención"
"14/2/2013","84","19","Abstención"
"14/2/2013","84","20","Sí"
"14/2/2013","84","21","Sí"
"14/2/2013","84","22","No"
"14/2/2013","84","23","No"
"14/2/2013","84","24","No"
"14/2/2013","84","25","Abstención"
"14/2/2013","84","26","Abstención"
"14/2/2013","84","27","No"
"14/2/2013","84","28","No"
"14/2/2013","84","29","No"
"14/2/2013","84","30","No"
"14/2/2013","84","31","Abstención"
"14/2/2013","84","32","Abstención"
"14/2/2013","84","33","Sí"
"14/2/2013","84","34","Sí"
"14/2/2013","84","35","Abstención"
"14/2/2013","84","36","Sí"
"14/2/2013","84","37","Abstención"
"14/2/2013","84","38","Abstención"
"14/2/2013","84","39","Sí"
"14/2/2013","84","40","Sí"
"14/2/2013","84","41","Sí"
"14/2/2013","84","42","Sí"
"14/2/2013","84","43","Sí"
"14/2/2013","84","44","Sí"
"14/2/2013","84","45","Sí"
"14/2/2013","84","46","Abstención"
"14/2/2013","84","47","Sí"
"14/2/2013","84","48","No"
"14/2/2013","84","49","Sí"
"14/2/2013","84","50","Sí"
"14/2/2013","84","51","Sí"
"26/2/2013","87","1","No"
"26/2/2013","87","2","Sí"
"26/2/2013","87","3","No"
"26/2/2013","87","4","Sí"
"26/2/2013","87","5","Sí"
"26/2/2013","87","8","No"
"26/2/2013","87","9","Sí"
"26/2/2013","87","10","No"
"26/2/2013","87","11","No"
"26/2/2013","87","12","No"
"26/2/2013","87","13","No"
"26/2/2013","87","14","Sí"
"26/2/2013","87","15","Sí"
"26/2/2013","87","16","Sí"
"26/2/2013","87","17","Sí"
"26/2/2013","87","18","Sí"
"26/2/2013","87","19","Sí"
"26/2/2013","87","20","Sí"
"26/2/2013","87","21","Sí"
"26/2/2013","87","22","Sí"
"26/2/2013","87","23","Sí"
"26/2/2013","87","24","Sí"
"26/2/2013","87","25","Sí"
"26/2/2013","87","26","Sí"
"26/2/2013","87","27","Sí"
"26/2/2013","87","28","No"
"26/2/2013","87","29","Abstención"
"26/2/2013","87","30","Sí"
"26/2/2013","87","31","Abstención"
"26/2/2013","87","32","Sí"
"26/2/2013","87","33","Abstención"
"26/2/2013","87","36","No"
"26/2/2013","87","37","No"
"26/2/2013","87","38","Abstención"
"26/2/2013","87","39","Sí"
"26/2/2013","87","40","Abstención"
"26/2/2013","87","41","Sí"
"26/2/2013","87","42","Sí"
"26/2/2013","87","43","Sí"
"26/2/2013","87","44","Sí"
"26/2/2013","87","45","Sí"
"26/2/2013","87","46","No"
"26/2/2013","87","47","No"
"26/2/2013","87","48","No"
"26/2/2013","87","49","No"
"26/2/2013","87","50","Sí"
"26/2/2013","87","51","Sí"
"26/2/2013","87","52","Sí"
"26/2/2013","87","53","Sí"
"26/2/2013","87","54","Sí"
"26/2/2013","87","55","Sí"
"26/2/2013","87","56","Sí"
"26/2/2013","87","57","Sí"
"26/2/2013","87","58","Sí"
"26/2/2013","87","59","Sí"
"26/2/2013","87","60","Sí"
"26/2/2013","87","61","Abstención"
"26/2/2013","87","62","Sí"
"26/2/2013","87","63","No"
"26/2/2013","87","64","Sí"
"26/2/2013","87","65","Sí"
"26/2/2013","87","66","No"
"26/2/2013","87","67","Abstención"
"26/2/2013","87","68","Sí"
"26/2/2013","87","69","Abstención"
"26/2/2013","87","70","Abstención"
"26/2/2013","87","71","Sí"
"26/2/2013","87","72","Sí"
"26/2/2013","87","73","Sí"
"26/2/2013","87","74","No"
"26/2/2013","87","75","Abstención"
"26/2/2013","87","76","Abstención"
"26/2/2013","87","77","No"
"26/2/2013","87","78","Sí"
"26/2/2013","87","79","No"
"26/2/2013","87","80","Sí"
"26/2/2013","87","81","No"
"26/2/2013","87","82","Abstención"
"26/2/2013","87","83","No"
"26/2/2013","87","84","No"
"26/2/2013","87","85","Sí"
"26/2/2013","87","86","No"
"26/2/2013","87","87","Sí"
"26/2/2013","87","88","No"
"26/2/2013","87","89","Abstención"
"26/2/2013","87","90","Abstención"
"26/2/2013","87","91","Sí"
"26/2/2013","87","92","Sí"
"26/2/2013","87","93","No"
"26/2/2013","87","94","No"
"26/2/2013","87","95","Sí"
"26/2/2013","87","96","Sí"
"26/2/2013","87","97","No"
"26/2/2013","87","98","Sí"
"26/2/2013","87","99","No"
"26/2/2013","87","100","No"
"26/2/2013","87","101","Abstención"
"26/2/2013","87","102","No"
"26/2/2013","87","103","No"
"26/2/2013","87","104","Abstención"
"26/2/2013","87","105","No"
