fecha,sesion,numeroVotacion,voto
"8/10/2013","134","1","No"
"8/10/2013","134","2","No"
"8/10/2013","134","3","No"
"8/10/2013","134","4","No"
"8/10/2013","134","5","No"
"8/10/2013","134","6","No"
"8/10/2013","134","7","Sí"
"8/10/2013","134","8","No"
"8/10/2013","134","9","No"
"8/10/2013","134","10","No"
"8/10/2013","134","11","No"
"8/10/2013","134","12","No"
"8/10/2013","134","13","No"
"10/10/2013","136","113","Sí"
"10/10/2013","136","114","Sí"
"10/10/2013","136","115","No"
"10/10/2013","136","116","No"
"10/10/2013","136","117","No"
"10/10/2013","136","118","No"
"10/10/2013","136","119","No"
"10/10/2013","136","120","No"
"10/10/2013","136","121","No"
"10/10/2013","136","122","No"
"10/10/2013","136","123","No"
"10/10/2013","136","124","No"
"10/10/2013","136","125","No"
"10/10/2013","136","126","No"
"10/10/2013","136","127","No"
"10/10/2013","136","128","No"
"10/10/2013","136","129","No"
"10/10/2013","136","130","No"
"10/10/2013","136","131","No"
"10/10/2013","136","132","No"
"10/10/2013","136","133","No"
"10/10/2013","136","134","No"
"10/10/2013","136","135","No"
"10/10/2013","136","136","No"
"10/10/2013","136","137","No"
"10/10/2013","136","138","No"
"10/10/2013","136","139","No"
"10/10/2013","136","140","No"
"10/10/2013","136","141","No"
"10/10/2013","136","142","No"
"10/10/2013","136","143","No"
"10/10/2013","136","144","No"
"10/10/2013","136","145","No"
"10/10/2013","136","146","No"
"10/10/2013","136","147","No"
"10/10/2013","136","148","No"
"10/10/2013","136","149","No"
"10/10/2013","136","150","No"
"10/10/2013","136","151","No"
"10/10/2013","136","152","Sí"
"10/10/2013","136","153","Sí"
"10/10/2013","136","154","No"
"10/10/2013","136","1","No"
"10/10/2013","136","2","No"
"10/10/2013","136","3","Sí"
"10/10/2013","136","4","No"
"10/10/2013","136","5","No"
"10/10/2013","136","6","No"
"10/10/2013","136","7","No"
"10/10/2013","136","8","No"
"10/10/2013","136","9","No"
"10/10/2013","136","10","No"
"10/10/2013","136","11","No"
"10/10/2013","136","12","No"
"10/10/2013","136","13","No"
"10/10/2013","136","14","No"
"10/10/2013","136","15","No"
"10/10/2013","136","16","No"
"10/10/2013","136","17","No"
"10/10/2013","136","18","No"
"10/10/2013","136","19","No"
"10/10/2013","136","20","No"
"10/10/2013","136","21","No"
"10/10/2013","136","22","No"
"10/10/2013","136","23","No"
"10/10/2013","136","24","No"
"10/10/2013","136","25","No"
"10/10/2013","136","26","No"
"10/10/2013","136","27","No"
"10/10/2013","136","28","No"
"10/10/2013","136","29","No"
"10/10/2013","136","30","No"
"10/10/2013","136","31","No"
"10/10/2013","136","32","No"
"10/10/2013","136","33","No"
"10/10/2013","136","34","No"
"10/10/2013","136","35","No"
"10/10/2013","136","36","No"
"10/10/2013","136","37","No"
"10/10/2013","136","38","No"
"10/10/2013","136","39","No"
"10/10/2013","136","40","No"
"10/10/2013","136","41","No"
"10/10/2013","136","42","No"
"10/10/2013","136","43","No"
"10/10/2013","136","44","No"
"10/10/2013","136","45","No"
"10/10/2013","136","46","No"
"10/10/2013","136","47","No"
"10/10/2013","136","48","No"
"10/10/2013","136","49","No"
"10/10/2013","136","50","No"
"10/10/2013","136","51","No"
"10/10/2013","136","52","No"
"10/10/2013","136","53","No"
"10/10/2013","136","54","No"
"10/10/2013","136","55","No"
"10/10/2013","136","56","No"
"10/10/2013","136","57","No"
"10/10/2013","136","58","No"
"10/10/2013","136","59","No"
"10/10/2013","136","60","No"
"10/10/2013","136","61","No"
"10/10/2013","136","62","No"
"10/10/2013","136","63","No"
"10/10/2013","136","64","No"
"10/10/2013","136","65","No"
"10/10/2013","136","66","No"
"10/10/2013","136","67","No"
"10/10/2013","136","68","No"
"10/10/2013","136","69","No"
"10/10/2013","136","70","No"
"10/10/2013","136","71","No"
"10/10/2013","136","72","No"
"10/10/2013","136","73","No"
"10/10/2013","136","74","No"
"10/10/2013","136","75","No"
"10/10/2013","136","76","No"
"10/10/2013","136","77","No"
"10/10/2013","136","78","No"
"10/10/2013","136","79","No"
"10/10/2013","136","80","No"
"10/10/2013","136","81","No"
"10/10/2013","136","82","No"
"10/10/2013","136","83","No"
"10/10/2013","136","84","No"
"10/10/2013","136","85","No"
"10/10/2013","136","86","No"
"10/10/2013","136","87","No"
"10/10/2013","136","88","No"
"10/10/2013","136","89","No"
"10/10/2013","136","90","No"
"10/10/2013","136","91","No"
"10/10/2013","136","92","No"
"10/10/2013","136","93","No"
"10/10/2013","136","94","No"
"10/10/2013","136","95","No"
"10/10/2013","136","96","No"
"10/10/2013","136","97","No"
"10/10/2013","136","98","No"
"10/10/2013","136","99","No"
"10/10/2013","136","100","No"
"10/10/2013","136","101","No"
"10/10/2013","136","102","No"
"10/10/2013","136","103","No"
"10/10/2013","136","104","No"
"10/10/2013","136","105","No"
"10/10/2013","136","106","No"
"10/10/2013","136","107","No"
"10/10/2013","136","108","No"
"10/10/2013","136","109","No"
"10/10/2013","136","110","No"
"10/10/2013","136","111","No"
"10/10/2013","136","112","No"
"15/10/2013","137","1","No"
"15/10/2013","137","2","No"
"15/10/2013","137","3","No"
"15/10/2013","137","4","No"
"17/10/2013","139","1","No"
"17/10/2013","139","2","No"
"17/10/2013","139","3","No"
"17/10/2013","139","4","Sí"
"17/10/2013","139","5","No"
"17/10/2013","139","6","No"
"17/10/2013","139","7","No"
"17/10/2013","139","8","No"
"17/10/2013","139","9","Sí"
"17/10/2013","139","10","Sí"
"17/10/2013","139","11","Sí"
"17/10/2013","139","12","Sí"
"17/10/2013","139","13","Sí"
"17/10/2013","139","14","No"
"17/10/2013","139","15","No"
"17/10/2013","139","16","No"
"17/10/2013","139","17","No"
"23/10/2013","141","1","No"
"23/10/2013","141","2","No"
"29/10/2013","142","1","No"
"29/10/2013","142","2","No"
"29/10/2013","142","3","Sí"
"29/10/2013","142","4","No"
"29/10/2013","142","5","Sí"
"29/10/2013","142","6","No"
"29/10/2013","142","7","No"
"31/10/2013","144","7","No"
"31/10/2013","144","8","No"
"31/10/2013","144","9","No"
"31/10/2013","144","10","No"
"31/10/2013","144","11","No"
"31/10/2013","144","12","No"
"31/10/2013","144","13","No"
"31/10/2013","144","14","No"
"31/10/2013","144","15","No"
"31/10/2013","144","16","No"
"31/10/2013","144","17","No"
"31/10/2013","144","18","No"
"31/10/2013","144","19","No"
"31/10/2013","144","20","No"
"31/10/2013","144","21","No"
"31/10/2013","144","22","No"
"31/10/2013","144","23","No"
"31/10/2013","144","24","No"
"31/10/2013","144","25","No"
"31/10/2013","144","26","No"
"31/10/2013","144","27","No"
"31/10/2013","144","28","No"
"31/10/2013","144","29","No"
"31/10/2013","144","30","No"
"31/10/2013","144","31","No"
"31/10/2013","144","32","No"
"31/10/2013","144","33","No"
"31/10/2013","144","34","No"
"31/10/2013","144","35","No"
"31/10/2013","144","36","No"
"31/10/2013","144","37","No"
"31/10/2013","144","38","Sí"
"31/10/2013","144","39","Sí"
"31/10/2013","144","40","Sí"
"31/10/2013","144","41","No"
"31/10/2013","144","42","Sí"
"31/10/2013","144","43","No"
"31/10/2013","144","44","No"
"31/10/2013","144","45","No"
"31/10/2013","144","1","No"
"31/10/2013","144","2","No"
"31/10/2013","144","3","No"
"31/10/2013","144","4","Sí"
"31/10/2013","144","5","Sí"
"31/10/2013","144","6","Sí"
