fecha,sesion,numeroVotacion,voto
26/9/2012,58,2,No
9/10/2012,59,1,No
9/10/2012,59,2,No
9/10/2012,59,3,Sí
9/10/2012,59,4,No
9/10/2012,59,5,No
11/10/2012,61,8,Sí
22/10/2012,62,1,Sí
22/10/2012,62,2,No
22/10/2012,62,3,No
22/10/2012,62,4,No
22/10/2012,62,5,No
24/10/2012,64,1,No
30/10/2012,65,1,No
30/10/2012,65,2,No
30/10/2012,65,3,No
30/10/2012,65,4,No
30/10/2012,65,5,No
30/10/2012,65,6,No
30/10/2012,65,7,No
30/10/2012,65,8,No
30/10/2012,65,9,No
30/10/2012,65,10,No
30/10/2012,65,11,Sí
30/10/2012,65,12,No
