fecha,sesion,numeroVotacion,voto
11/1/2012,4,1,Sí
11/1/2012,4,3,No
11/1/2012,4,4,Sí
11/1/2012,4,5,Sí
11/1/2012,4,6,Sí
11/1/2012,4,7,Sí
11/1/2012,4,8,Sí
7/2/2012,5,1,No
7/2/2012,5,2,Sí
7/2/2012,5,3,Sí
7/2/2012,5,4,Sí
9/2/2012,7,1,No
9/2/2012,7,2,Sí
14/2/2012,8,1,Sí
14/2/2012,8,2,Sí
14/2/2012,8,3,Sí
14/2/2012,8,4,Abstención
16/2/2012,10,1,No
16/2/2012,10,2,Sí
21/2/2012,11,1,Sí
21/2/2012,11,2,No
21/2/2012,11,3,Sí
21/2/2012,11,4,No
21/2/2012,11,5,Abstención
23/2/2012,13,1,Sí
23/2/2012,13,2,Sí
23/2/2012,13,3,Sí
23/2/2012,13,4,Sí
23/2/2012,13,5,Sí
23/2/2012,13,6,Sí
23/2/2012,13,7,Sí
23/2/2012,13,8,Sí
23/2/2012,13,9,Sí
23/2/2012,13,10,Sí
23/2/2012,13,11,Abstención
23/2/2012,13,12,No
23/2/2012,13,13,Sí
23/2/2012,13,14,Abstención
23/2/2012,13,15,Sí
23/2/2012,13,16,Sí
23/2/2012,13,17,Sí
23/2/2012,13,18,Sí
6/3/2012,14,1,Sí
6/3/2012,14,2,No
6/3/2012,14,3,Sí
6/3/2012,14,4,Sí
6/3/2012,14,5,Sí
6/3/2012,14,6,No
8/3/2012,16,1,No
8/3/2012,16,2,Sí
8/3/2012,16,3,Abstención
8/3/2012,16,4,Sí
13/3/2012,17,1,No
13/3/2012,17,2,Abstención
13/3/2012,17,3,Sí
13/3/2012,17,4,Sí
13/3/2012,17,5,Abstención
15/3/2012,19,1,No
15/3/2012,19,2,No
15/3/2012,19,3,Abstención
15/3/2012,19,4,Sí
15/3/2012,19,5,No
15/3/2012,19,6,No
15/3/2012,19,7,Sí
15/3/2012,19,8,Abstención
27/3/2012,20,1,Abstención
27/3/2012,20,2,Sí
27/3/2012,20,3,No
27/3/2012,20,4,Abstención
27/3/2012,20,5,Sí
27/3/2012,20,6,Abstención
27/3/2012,20,7,Abstención
27/3/2012,20,8,Abstención
29/3/2012,22,1,"No vota"
29/3/2012,22,2,"No vota"
29/3/2012,22,3,"No vota"
29/3/2012,22,4,"No vota"
29/3/2012,22,5,"No vota"
29/3/2012,22,6,"No vota"
29/3/2012,22,7,"No vota"
29/3/2012,22,8,"No vota"
29/3/2012,22,9,"No vota"
29/3/2012,22,10,"No vota"
29/3/2012,22,11,"No vota"
10/4/2012,23,1,Sí
10/4/2012,23,2,No
10/4/2012,23,3,Abstención
10/4/2012,23,4,Sí
10/4/2012,23,5,Sí
10/4/2012,23,6,Abstención
12/4/2012,25,1,Abstención
12/4/2012,25,2,Sí
12/4/2012,25,3,No
12/4/2012,25,4,Sí
12/4/2012,25,5,Sí
12/4/2012,25,6,Abstención
12/4/2012,25,7,Sí
12/4/2012,25,8,Sí
12/4/2012,25,9,No
12/4/2012,25,10,Sí
12/4/2012,26,1,No
12/4/2012,26,2,No
12/4/2012,26,3,No
12/4/2012,26,4,No
25/4/2012,28,1,Sí
25/4/2012,28,2,Sí
25/4/2012,28,3,Sí
25/4/2012,28,4,No
25/4/2012,28,5,Sí
25/4/2012,28,6,Sí
16/5/2012,29,1,Sí
16/5/2012,29,2,Sí
16/5/2012,29,3,Abstención
17/5/2012,30,1,Sí
17/5/2012,30,2,Sí
17/5/2012,30,3,Sí
17/5/2012,30,4,Sí
17/5/2012,30,5,No
17/5/2012,30,6,Sí
17/5/2012,30,7,No
17/5/2012,30,8,Sí
17/5/2012,30,9,No
17/5/2012,30,10,Sí
17/5/2012,30,11,No
17/5/2012,30,12,Sí
17/5/2012,30,13,Abstención
17/5/2012,30,14,Abstención
17/5/2012,30,15,Abstención
21/5/2012,31,1,Sí
21/5/2012,31,2,Sí
21/5/2012,31,3,Sí
21/5/2012,31,4,Sí
21/5/2012,31,5,No
21/5/2012,31,6,Abstención
21/5/2012,31,7,Sí
21/5/2012,31,8,No
21/5/2012,31,9,Sí
21/5/2012,31,10,Sí
21/5/2012,31,11,Sí
21/5/2012,31,12,Sí
21/5/2012,31,13,No
21/5/2012,31,14,Sí
22/5/2012,32,1,Sí
22/5/2012,32,2,Sí
22/5/2012,32,3,Abstención
22/5/2012,32,4,Abstención
22/5/2012,32,5,Abstención
22/5/2012,32,6,Abstención
22/5/2012,32,7,Abstención
22/5/2012,32,8,Abstención
22/5/2012,32,9,Sí
22/5/2012,32,10,Sí
22/5/2012,32,11,Sí
22/5/2012,32,12,No
22/5/2012,32,13,Sí
22/5/2012,32,14,Abstención
22/5/2012,32,15,Sí
23/5/2012,33,1,Sí
23/5/2012,33,2,Sí
23/5/2012,33,3,No
23/5/2012,33,4,No
23/5/2012,33,5,No
23/5/2012,33,6,Sí
23/5/2012,33,7,Abstención
23/5/2012,33,8,Sí
23/5/2012,33,9,Sí
23/5/2012,33,10,Sí
23/5/2012,33,11,Sí
23/5/2012,33,12,Sí
23/5/2012,33,13,Sí
23/5/2012,33,14,No
23/5/2012,33,15,No
29/5/2012,34,1,Sí
29/5/2012,34,2,Sí
29/5/2012,34,3,No
29/5/2012,34,4,Abstención
29/5/2012,34,5,Sí
29/5/2012,34,6,Sí
29/5/2012,34,7,Sí
31/5/2012,36,1,No
31/5/2012,36,2,Sí
31/5/2012,36,3,Sí
31/5/2012,36,4,Sí
31/5/2012,36,5,Abstención
31/5/2012,36,6,Abstención
31/5/2012,36,7,Abstención
31/5/2012,36,8,Abstención
31/5/2012,36,9,Abstención
31/5/2012,36,10,Abstención
31/5/2012,36,11,Abstención
31/5/2012,36,12,Abstención
31/5/2012,36,13,Abstención
31/5/2012,36,14,Abstención
31/5/2012,36,15,Abstención
12/6/2012,37,1,No
12/6/2012,37,2,Sí
12/6/2012,37,3,Abstención
12/6/2012,37,4,Sí
12/6/2012,37,5,Sí
12/6/2012,37,6,Sí
14/6/2012,39,1,No
14/6/2012,39,2,Sí
14/6/2012,39,3,Abstención
14/6/2012,39,4,Abstención
14/6/2012,39,5,Abstención
14/6/2012,39,6,Abstención
14/6/2012,39,7,Abstención
14/6/2012,39,8,Sí
19/6/2012,40,1,No
19/6/2012,40,2,Sí
19/6/2012,40,3,Sí
19/6/2012,40,4,Abstención
19/6/2012,40,5,Sí
19/6/2012,40,6,Abstención
19/6/2012,40,7,Sí
19/6/2012,40,8,Sí
19/6/2012,40,9,Sí
21/6/2012,42,1,Sí
21/6/2012,42,2,Sí
21/6/2012,42,3,No
21/6/2012,42,4,Sí
21/6/2012,42,5,Sí
21/6/2012,42,6,Sí
26/6/2012,43,1,Sí
26/6/2012,43,2,Sí
26/6/2012,43,3,Abstención
26/6/2012,43,4,Sí
26/6/2012,43,5,Sí
26/6/2012,43,6,Abstención
26/6/2012,43,7,Sí
26/6/2012,43,8,Sí
26/6/2012,43,9,Abstención
28/6/2012,45,1,Abstención
28/6/2012,45,2,Abstención
28/6/2012,45,3,Abstención
28/6/2012,45,4,Sí
28/6/2012,45,5,Sí
28/6/2012,45,6,Sí
28/6/2012,45,7,Sí
28/6/2012,45,8,Sí
28/6/2012,45,9,Sí
28/6/2012,45,10,Sí
28/6/2012,45,11,Sí
28/6/2012,45,12,Sí
28/6/2012,45,13,No
28/6/2012,45,14,No
17/7/2012,47,1,Sí
17/7/2012,47,2,Sí
19/7/2012,49,1,Sí
19/7/2012,49,2,Sí
19/7/2012,49,3,Sí
19/7/2012,49,4,Sí
19/7/2012,49,5,No
19/7/2012,49,6,Abstención
19/7/2012,49,7,No
19/7/2012,49,8,No
19/7/2012,49,9,No
19/7/2012,49,10,No
19/7/2012,49,11,Sí
19/7/2012,49,12,Sí
19/7/2012,49,13,Sí
19/7/2012,49,14,Sí
19/7/2012,49,15,"No vota"
24/7/2012,50,1,"No vota"
24/7/2012,50,2,"No vota"
24/7/2012,50,3,"No vota"
24/7/2012,50,4,"No vota"
24/7/2012,50,5,"No vota"
11/9/2012,51,2,"No vota"
11/9/2012,51,3,"No vota"
11/9/2012,51,4,"No vota"
11/9/2012,51,5,"No vota"
11/9/2012,51,6,"No vota"
11/9/2012,51,7,"No vota"
11/9/2012,51,8,"No vota"
13/9/2012,53,1,No
13/9/2012,53,2,Sí
13/9/2012,53,3,Abstención
13/9/2012,53,4,Sí
13/9/2012,53,10,Sí
13/9/2012,53,11,Sí
13/9/2012,53,12,Sí
13/9/2012,53,13,Abstención
13/9/2012,53,14,Abstención
13/9/2012,53,15,No
13/9/2012,53,16,No
18/9/2012,54,1,Sí
18/9/2012,54,2,Abstención
18/9/2012,54,3,Sí
18/9/2012,54,4,Sí
18/9/2012,54,5,Sí
18/9/2012,54,6,Sí
18/9/2012,54,7,Sí
18/9/2012,54,8,Abstención
20/9/2012,56,1,Sí
20/9/2012,56,2,Sí
20/9/2012,56,3,No
20/9/2012,56,4,Sí
25/9/2012,57,1,No
25/9/2012,57,2,Sí
25/9/2012,57,3,No
25/9/2012,57,4,Sí
25/9/2012,57,5,Sí
25/9/2012,57,6,No
25/9/2012,57,7,Sí
26/9/2012,58,2,Sí
9/10/2012,59,1,No
9/10/2012,59,2,Sí
9/10/2012,59,3,No
9/10/2012,59,4,Sí
9/10/2012,59,5,Sí
11/10/2012,61,8,Sí
