nombre,asientos,total,si,no,abs,novota,dias_no_vota,dias_vota_algo,dias_vota_todo
"Abad Pérez, Juan Antonio","3406, 3817, 3816",330,121,200,1,8,2,0,41
"Aguiar Rodríguez, Ernesto","3405, 3706, 3709",330,119,203,0,8,1,1,41
"Aguilar Rivero, Rosa","1310, 1410",330,202,85,29,14,3,0,40
"Aguirre Rodríguez, Ramón",3202,7,3,4,0,0,0,0,1
"Albendea Pabón, Juan Manuel","3404, 2615",330,121,209,0,0,0,0,43
"Alberto Pérez, Celia","3403, 3803, 3802",330,106,202,0,22,2,0,41
"Alegría Continente, María Pilar","1404, 1611, 1610",330,211,92,26,1,0,1,42
"Alonso Aranegui, Alfonso",3210,330,121,200,0,9,2,0,41
"Alonso Núñez, Alejandro","1716, 1406",330,199,94,18,19,1,5,37
"Alonso Ruiz, José María","3402, 3810, 3809",330,122,208,0,0,0,0,43
"Alonso Suárez, José Antonio","1202, 1611, 1517",330,207,90,24,9,1,0,42
"Anchuelo Crego, Álvaro",2403,330,183,120,27,0,0,0,43
"Angulo Romero, María Teresa","2411, 2506, 2508",330,118,199,0,13,2,0,41
"Antigüedad Auzmendi, Iñaki",2601,113,0,2,3,108,14,3,0
"Aparicio Pérez, Juan Carlos","3407, 2411, 3303, 3305",330,121,208,0,1,1,0,42
"Aragonés Mendiguchía, Carlos","2410, 2616",330,124,203,2,1,0,1,42
"Araújo Gil, Rogelio","2604, 3808, 3807",330,122,208,0,0,0,0,43
"Ares Martínez-Fortún, María de la O","2504, 3814, 3813",330,116,196,0,18,1,0,42
"Arias Cañete, Miguel",1108,330,71,83,0,176,24,4,15
"Ariztegui Larrañaga, Maite",2703,330,32,12,42,244,25,11,7
"Asian González, Matilde Pastora",3204,330,122,207,0,1,0,1,42
"Astarloa Huarte-Mendicoa, Ignacio","2409, 3501",330,119,196,0,15,2,0,41
"Ayala Sánchez, Andrés José","3517, 3401",330,103,188,0,39,4,0,39
"Ayllón Manso, José Luis",3201,330,122,208,0,0,0,0,43
"Azpiazu Uriarte, Pedro María",2302,330,184,53,71,22,3,1,39
"Azpiroz Villar, José Eugenio","3516, 2514",330,120,196,0,14,1,0,42
"Baena Azuaga, María del Mar","2818, 2819",107,33,73,1,0,0,0,16
"Bajo Prieto, María Luz","3515, 3613, 3615",330,114,193,0,23,2,0,41
"Baldoví Roda, Joan",2705,330,187,59,52,32,2,10,31
"Barberà i Montserrat, Martí",2408,330,197,62,64,7,2,1,40
"Barkos Berruezo, Uxue",2803,330,180,64,40,46,5,2,36
"Barreda Fontes, José María","1613, 1414",330,213,90,27,0,0,0,43
"Barreda de los Ríos, Leopoldo",3206,330,122,200,0,8,1,0,42
"Barreiro Álvarez, Pilar","3514, 3607, 3609",330,119,203,0,8,1,0,42
"Barrero López, Jaime Javier",3,330,204,82,19,25,3,0,40
"Batet Lamaña, Meritxell","1713, 1511",330,179,67,19,65,9,1,33
"Bedera Bravo, Mario","1610, 1515",330,199,87,25,19,2,0,41
"Benegas Haddad, José María",1820,330,185,75,19,51,5,1,37
"Beneyto Pérez, José María","3513, 3408, 3306, 3307",330,110,177,2,41,5,5,33
"Bermúdez de Castro Fernández, José Antonio",3209,330,122,208,0,0,0,0,43
"Bertomeu Bertomeu, Juan","3512, 2711, 2710",330,122,207,1,0,0,0,43
"Blanco López, José","1302, 1402",330,189,82,22,37,3,1,39
"Blanco Terán, Rosa Delia","1809, 1807",330,173,84,26,47,6,2,35
"Blanquer Alcaraz, Patricia","1407, 4701",67,33,12,2,20,6,0,6
