sesion,num_votacion,fecha,legislatura,num_expediente,presentes,si,no,abs,titulo,texto_expediente,titulo_subgrupo,texto_subgrupo
"4","1","11/1/2012","10","410/000002","333","327","0","6","Toma en consideración de Proposición de reforma del Reglamento del Congreso de los Diputados.","De los Grupos Parlamentarios Popular en el Congreso, Socialista, Catalán (Convergència i Unió), Unión Progreso y Democracia, Vasco (EAJ-PNV) y de IU, ICV-EUiA, CHA: La Izquierda Plural, de reforma del Reglamento del Congreso de los Diputados, por la que se modifica el artículo 46.1. ","",""
"4","3","11/1/2012","10","130/000001","339","197","138","4","Convalidación o derogación de Reales Decretos-Leyes.","Real Decreto-Ley 20/2011, de 30 de diciembre, de medidas urgentes en materia presupuestaria, tributaria y financiera para la corrección del déficit público.","",""
"4","4","11/1/2012","10","130/000001","338","141","175","22","Convalidación o derogación de Reales Decretos-Leyes.","Tramitación como Proyecto de Ley por el procedimiento de urgencia del Real Decreto-Ley 20/2011, de 30 de diciembre, de medidas urgentes en materia presupuestaria, tributaria y financiera para la corrección del déficit público.","",""
"4","5","11/1/2012","10","410/000002","341","127","190","24","Convalidación o derogación de Reales Decretos-Leyes.","Proposición de reforma del Reglamento del Congreso de los Diputados, por la que se modifica el artículo 46.1.","GP MIxto (ERC)","Enmienda nº 1"
"4","6","11/1/2012","10","410/000002","342","44","298","0","Convalidación o derogación de Reales Decretos-Leyes.","Proposición de reforma del Reglamento del Congreso de los Diputados, por la que se modifica el artículo 46.1.","GP MIxto (ERC)","Enmienda nº 2"
"4","7","11/1/2012","10","410/000002","342","25","295","22","Convalidación o derogación de Reales Decretos-Leyes.","Proposición de reforma del Reglamento del Congreso de los Diputados, por la que se modifica el artículo 46.1.","GP MIxto (ERC)","Enmienda nº 3"
"4","8","11/1/2012","10","410/000002","343","337","0","6","Convalidación o derogación de Reales Decretos-Leyes.","Proposición de reforma del Reglamento del Congreso de los Diputados, por la que se modifica el artículo 46.1.","Votación conjunta","VOTACIÓN CONJUNTO PROPOSICIÓN DE REFORMA DEL REGLAMENTO DEL CONGRESO DE LOS DIPUTADOS."
"5","1","7/2/2012","10","162/000130","329","298","28","3","Proposiciones no de Ley.","Proposición no de Ley relativa a la renovación del protocolo de pesca UE-Reino de Marruecos.","",""
"5","2","7/2/2012","10","162/000135","327","125","184","18","Proposiciones no de Ley.","Proposición no de Ley sobre la revisión del calendario del programa de estabilidad y estímulo al crecimiento.","",""
"5","3","7/2/2012","10","162/000057","327","327","0","0","Proposiciones no de Ley.","Proposición no de Ley por la que se insta al Gobierno a adoptar un conjunto de medidas de apoyo al emprendedor.  En los terminos de la Enmienda formulada por el Grupo Parlamentario Popular en el Congreso.","",""
