Nombre,"Legis I","Legis II","Legis III","Legis IV","Legis V","Legis VI","Legis VII","Legis VIII","Legis IX"
"María Cristina Suárez-Bárcena Blasco",0,0,0,0,0,0,0,0,0
"Miquel Ramis Socias",0,0,0,0,0,0,0,0,0
"María de la O Ares Martínez-Fortún",0,0,0,0,0,0,0,0,0
"Enrique Fajarnés Ribas",0,0,0,0,0,0,0,1,1
"Jesús Caicedo Bernabé",0,0,0,0,0,0,0,0,0
"Andrea Fabra Fernández",0,0,0,0,0,0,0,0,1
"María Ascensión Figueres Górriz",0,0,0,0,0,0,0,0,0
"Gema Conde Martínez",0,0,0,0,0,0,0,0,0
"Beatriz Marta Escudero Berzal",0,0,0,0,0,0,0,0,0
"Pedro Ramón Gómez de la Serna y Villacieros",0,0,0,0,0,0,0,0,0
"Vicente Guillén Izquierdo",0,0,0,0,0,0,0,0,1
"Jaime Javier Barrero López",0,1,1,1,1,1,1,1,1
"Antonio Gutiérrez Molina",0,0,0,0,0,1,1,1,1
"Teófila Martínez Saiz",0,0,0,1,1,1,0,0,1
"María Fátima Báñez García",0,0,0,0,0,0,1,1,1
"Andrés José Ayala Sánchez",0,0,0,0,0,0,1,1,1
"José Segura Clavell",0,0,0,0,0,1,1,1,1
"Eloy Suárez Lamata",0,0,0,0,0,0,0,0,0
"María Jesús Moro Almaraz",0,0,0,0,0,0,0,0,0
"Miguel Arias Cañete",0,0,0,0,0,0,0,1,1
"Rafael Antonio Hernando Fraile",0,0,0,0,1,1,1,1,1
"Miguel Ángel Heredia Díaz",0,0,0,0,0,1,1,1,1
"José Andrés Torres Mora",0,0,0,0,0,0,0,1,1
"Gabino Puche Rodríguez-Acosta",0,0,0,0,1,1,1,1,1
"Miguel Sánchez de Alcázar Ocaña",0,0,0,0,0,0,0,0,0
"Irene Lozano Domingo",0,0,0,0,0,0,0,0,0
"Carlos Martínez Gorriarán",0,0,0,0,0,0,0,0,0
"Álvaro Anchuelo Crego",0,0,0,0,0,0,0,0,0
"María del Carmen Navarro Cruz",0,0,0,0,0,0,0,0,1
"Francisco Molinero Hoyos",0,0,0,0,0,0,0,0,0
"Miriam Guadalupe Blasco Soto",0,0,0,0,0,0,0,0,0
"Arsenio Pacheco Atienza",0,0,0,0,0,0,0,1,1
"Francisco Vañó Ferre",0,0,0,0,0,0,0,1,1
"Aurelio Romero Girón",0,0,0,0,0,0,1,0,1
"Alfonso Candón Adán",0,0,0,0,0,0,0,0,0
"Juan Carlos Lagares Flores",0,0,0,0,0,0,0,0,1
"Carmelo Romero Hernández",0,0,0,0,0,0,0,0,0
"María Eugenia Romero Rodríguez",0,0,0,0,0,0,0,0,0
"Celinda Sánchez García",0,0,0,0,0,1,1,1,1
"María Caridad García Álvarez",0,0,0,0,0,0,0,0,0
"Ascensión De las Heras Ladera",0,0,0,0,0,0,0,0,0
"Alberto Garzón Espinosa",0,0,0,0,0,0,0,0,0
"Chesús Yuste Cabello",0,0,0,0,0,0,0,0,0
"Cayo Lara Moya",0,0,0,0,0,0,0,0,0
"María del Carmen Álvarez-Arenas Cisneros",0,0,0,0,0,0,0,0,1
"Pedro Saura García",0,0,0,0,0,0,0,1,0
"Alfonso Guerra González",1,1,1,1,1,1,1,1,1
"Elvira Ramón Utrabo",0,0,0,0,0,0,0,0,0
"Manuel Pezzi Cereto",0,0,0,0,0,0,0,0,1
"María Teresa de Lara Carbó",0,0,0,0,0,1,1,1,1
"Teófilo de Luis Rodríguez",0,0,0,0,1,1,1,1,1
"Mª Concepción Bravo Ibáñez",0,0,0,0,0,0,0,0,1
"Juan Antonio Abad Pérez",0,0,0,0,0,0,0,0,0
"Gabriel Echávarri Fernández",0,0,0,0,0,0,0,0,0
"César Luena López",0,0,0,0,0,0,0,0,1
"Federico Buyolo García",0,0,0,0,0,0,0,0,0
"Fernando López-Amor García",0,0,0,0,0,1,1,1,1
"Juan José Matarí Sáez",0,0,0,0,0,0,1,1,1
"José Blanco López",0,0,0,0,0,1,1,1,1
"Antonio Erias Rey",0,0,0,0,0,0,0,1,1
"Ángeles Álvarez Álvarez",0,0,0,0,0,0,0,0,0
"Susana Ros Martínez",0,0,0,0,0,0,0,0,1
"Susana Sumelzo Jordán",0,0,0,0,0,0,0,0,0
"Federico Cabello de Alba Hernández",0,0,0,0,0,0,0,0,0
"Pilar Barreiro Álvarez",0,0,0,0,0,0,0,0,1
"Carlos Aragonés Mendiguchía",0,0,0,0,1,1,1,1,1
"Ana María Madrazo Díaz",0,0,0,0,0,0,0,1,1
"María Soledad Pérez Domínguez",0,0,0,0,0,0,1,1,1
"María Pilar Lucio Carrasco",0,0,0,0,0,0,0,0,0
"María Carmen Sánchez Díaz",0,0,0,0,0,0,1,1,1
"Francisco González Cabaña",0,0,0,0,0,0,0,0,0
"José Antonio Viera Chacón",0,0,0,0,0,0,0,0,0
"Juan Carlos Vera Pró",0,0,0,0,1,1,1,1,1
"María Jesús Bonilla Domínguez",0,0,0,0,0,0,0,0,1
"Felipe Jesús Sicilia Alférez",0,0,0,0,0,0,0,0,0
"Alejandro Alonso Núñez",0,0,0,0,0,0,0,1,1
"Luis Carlos Sahuquillo García",0,0,0,0,0,0,0,0,1
"María del Puerto Gallego Arriola",0,0,0,0,0,0,0,0,0
"María Isabel Pozuelo Meño",0,0,0,0,0,1,1,1,1
"Patricia Hernández Gutiérrez",0,0,0,0,0,0,0,0,0
"Julio Villarrubia Mediavilla",0,0,0,0,0,1,1,1,1
"Elena Valenciano Martínez-Orozco",0,0,0,0,0,0,0,0,1
"Pilar Grande Pesquero",0,0,0,0,0,0,0,1,1
"Irene Garrido Valenzuela",0,0,0,0,0,0,0,0,0
"María Paz Lago Martínez",0,0,0,0,0,0,0,0,0
"Sofía Hernanz Costa",0,0,0,0,0,0,0,0,0
"Guillem García Gasulla",0,0,0,0,0,0,0,0,0
"Joan Ruiz i Carbonell",0,0,0,0,0,0,0,0,1
"María Angelina Costa Palacios",0,0,0,0,0,0,0,0,1
"Carlos Enrique Muñoz Obón",0,0,0,0,0,0,0,0,0
"María Teresa Angulo Romero",0,0,0,0,0,0,0,0,0
"Alfonso Alonso Aranegui",0,0,0,0,0,0,1,0,1
"Tomás Valeriano Gómez Sánchez",0,0,0,0,0,0,0,0,0
"Carles Pàramo i Ponsetí",0,0,0,0,0,0,0,0,0
"Pablo Matos Mascareño",0,0,0,0,0,0,0,1,1
"Ernesto Aguiar Rodríguez",0,0,0,0,0,0,0,0,0
"Matilde Pastora Asian González",0,0,0,0,0,0,0,0,0
"Celia Alberto Pérez",0,0,0,0,0,0,0,0,0
"Guillermo Mariscal Anaya",0,0,0,0,0,0,0,1,1
"Águeda Fumero Roque",0,0,0,0,0,0,0,0,0
"Francisco Domingo Cabrera García",0,0,0,0,0,0,0,0,0
"Bibiano Serrano Calurano",0,0,0,0,0,0,0,0,0
"Daniel Serrano Coronado",0,0,0,0,0,0,0,0,0
"Pilar Cortés Bureta",0,0,0,0,0,0,0,0,0
"Martí Barberà i Montserrat",0,0,0,0,0,0,0,0,0
"Josep Sánchez i Llibre",0,0,0,0,1,1,1,1,1
"Francisco Márquez de la Rubia",0,0,0,0,0,0,0,0,1
"Lourdes Ciuró i Buldó",0,0,0,0,0,0,0,0,0
"Inmaculada Riera i Reñé",0,0,0,0,0,0,1,0,1
"Antoni Picó i Azanza",0,0,0,0,0,0,0,0,0
"Montserrat Surroca i Comas",0,0,0,0,0,0,0,0,1
"Víctor Morlán Gracia",0,0,1,1,1,1,1,1,1
"Carlos Casimiro Salvador Armendáriz",0,0,0,0,0,0,0,1,1
"Rosa Delia Blanco Terán",0,0,0,0,0,0,1,1,1
"Mario Bedera Bravo",0,0,0,0,0,0,0,1,0
"Juan Carlos Corcuera Plaza",0,0,0,0,0,0,0,1,1
"Pablo García Pérez",0,0,0,0,0,0,0,0,0
"Helena Castellano Ramón",0,0,0,0,0,0,0,0,1
"María de la Concepción de Santa Ana Fernández",0,0,0,0,0,0,0,0,1
"José Luis Ayllón Manso",0,0,0,0,0,0,1,1,1
"Herick Manuel Campos Arteseros",0,0,0,0,0,0,0,1,1
"María Jesús Susinos Tarrero",0,0,0,0,0,0,0,0,1
"Gaspar Llamazares Trigo",0,0,0,0,0,0,1,1,1
"María Soraya Sáenz de Santamaría Antón",0,0,0,0,0,0,0,1,1
"María Blanca Puyuelo del Val",0,0,0,0,0,0,0,0,0
"Manuel Mora Bernat",0,0,0,0,0,0,0,0,0
"Celia Villalobos Talero",0,0,1,1,1,1,1,1,1
"Joaquín Villanova Rueda",0,0,0,0,0,0,0,0,0
"Carolina España Reina",0,0,0,0,0,0,0,0,0
"Margarita del Carmen del Cid Muñoz",0,0,0,0,0,0,0,0,0
"Ángel Luis González Muñoz",0,0,0,0,0,0,0,0,1
"María Pilar Alegría Continente",0,0,0,0,0,0,0,0,1
"Pedro María Azpiazu Uriarte",0,0,0,0,0,0,1,1,1
"María Ascensión Carreño Fernández",0,0,0,0,0,0,0,0,0
"José Ignacio Llorens Torres",0,1,1,0,1,1,1,0,1
"José Zaragoza Alonso",0,0,0,0,0,0,0,0,0
"María Olga Iglesias Fontal",0,0,0,0,0,0,0,0,1
"Tristana María Moraleja Gómez",0,0,0,0,0,0,0,0,0
"Celso Luis Delgado Arce",0,0,0,0,0,0,1,1,1
"Uxue Barkos Berruezo",0,0,0,0,0,0,0,1,1
"Dolors Montserrat Montserrat",0,0,0,0,0,0,0,0,1
"Concepció Veray Cama",0,0,0,0,0,0,0,0,0
"Joan Baldoví Roda",0,0,0,0,0,0,0,0,0
"José Eugenio Azpiroz Villar",0,0,0,0,1,1,1,1,1
"Vicente Ferrer Roselló",0,0,0,0,0,0,0,0,1
"Juan Bertomeu Bertomeu",0,0,0,0,0,0,1,0,0
"Jaime Eduardo de Olano Vela",0,0,0,0,0,0,0,0,0
"Silvia Heredia Martín",0,0,0,0,0,0,0,0,0
"Guillermo Collarte Rodríguez",0,0,0,0,0,0,0,0,0
"Marta Torrado de Castro",0,0,0,0,0,0,0,0,1
"Teresa Jordà i Roura",0,0,0,0,0,0,0,0,0
"Antonio Camacho Vizcaíno",0,0,0,0,0,0,0,0,0
"María Dolores Bolarín Sánchez",0,0,0,0,0,0,0,0,1
"María Sandra Moneo Díez",0,0,0,0,0,1,1,1,1
"Cayetana Álvarez de Toledo Peralta Ramos",0,0,0,0,0,0,0,0,1
"Manuel Cervera Taulet",0,0,0,0,0,0,0,0,0
"Ovidio Sánchez Díaz",0,0,0,0,0,0,0,0,0
"Mario Francisco José Flores Lanuza",0,0,0,0,0,0,0,0,0
"José Enrique Serrano Martínez",0,0,0,0,0,0,0,0,0
"Iker Urbina Fernández",0,0,0,0,0,0,0,0,0
"Jon Iñarritu García",0,0,0,0,0,0,0,0,0
"Sabino Cuadra Lasarte",0,0,0,0,0,0,0,0,0
"Maite Ariztegui Larrañaga",0,0,0,0,0,0,0,0,0
"Xabier Mikel Errekondo Saltsamendi",0,0,0,0,0,0,0,0,0
"Luis Tudanca Fernández",0,0,0,0,0,0,0,0,1
"Irene Moreno Felipe",0,0,0,0,0,0,0,0,0
"Onintza Enbeita Maguregi",0,0,0,0,0,0,0,0,0
"Pedro José Muñoz González",0,0,0,0,0,0,0,1,1
"Sebastián González Vázquez",0,0,0,0,0,0,0,1,1
"Juan Carlos Grau Reinés",0,0,0,0,0,0,0,0,1
"Pablo Casado Blanco",0,0,0,0,0,0,0,0,0
"Manuel Gabriel González Ramos",0,0,0,0,0,0,0,0,0
"Juan Manuel Albendea Pabón",0,0,0,0,0,1,1,1,1
"Juan Carlos Aparicio Pérez",0,0,1,1,1,1,1,0,1
"Joaquín Francisco Puig Ferrer",0,0,0,0,0,0,0,0,0
"Arturo García-Tizón López",0,1,1,0,0,0,0,0,1
"José Luis Centella Gómez",0,0,0,0,1,1,1,0,0
"Ana María Pastor Julián",0,0,0,0,0,0,1,1,1
"Cristóbal Ricardo Montoro Romero",0,0,0,0,1,1,1,1,1
"Antonio Hurtado Zurera",0,0,0,0,0,0,0,0,0
"Rosa María Díez González",0,0,0,0,0,0,0,0,1
"Maravillas Concepción Falcón Dacal",0,0,0,0,0,0,0,0,0
"María del Carmen Silva Rego",0,0,0,0,0,1,0,0,0
